org::eclipse::jdt::internal::core::search::indexing::IndexBinaryFolder ; 120.0 ; 120.0 ; 120.0 ; 120.0 ; 120.0 ; 120.0 ; 122.0 ; 122.0 ; 122.0 ; 122.0 ; 122.0 ; 122.0 ; 122.0 ; 122.0 ; 122.0 ; 122.0 ; 122.0 ; 122.0 ; 122.0 ; 122.0 ; 122.0 ; 122.0 ; 122.0 ; 122.0 ; 124.0 ; 124.0 ; 124.0 ; 122.0 ; 122.0 ; 122.0 ; 122.0 ; 122.0 ; 122.0 ; 122.0 ; 122.0 ; 122.0 ; 122.0 ; 122.0 ; 122.0 ; 122.0 ; 122.0 ; 122.0 ; 122.0 ; 122.0 ; 122.0 ; 122.0 ; 122.0 ; 122.0 ; 122.0 ; 122.0 ; 122.0 ; 122.0 ; 122.0 ; 122.0 ; 122.0 ; 122.0 ; 122.0 ; 122.0 ; 122.0 ; 122.0 ; 122.0 ; 122.0 ; 122.0 ; 122.0 ; 122.0 ; 122.0 ; 122.0 ; 122.0 ; 122.0 ; 122.0 ; 122.0 ; 122.0 ; 122.0 ; 122.0 ; 122.0 ; 122.0 ; 122.0 ; 122.0 ; 122.0 ; 122.0 ; 122.0 ; 122.0 ; 122.0 ; 122.0 ; 122.0 ; 122.0 ; 122.0 ; 122.0 ; 122.0 ; 122.0
org::eclipse::jdt::internal::compiler::codegen::CachedIndexEntry ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; 4.0 ; 4.0 ; 4.0 ; 4.0 ; 4.0 ; 4.0 ; 4.0 ; 4.0 ; 4.0 ; 4.0 ; 4.0 ; 4.0 ; 4.0 ; 4.0 ; 4.0 ; 4.0 ; 4.0 ; 4.0 ; 4.0 ; 4.0 ; 4.0 ; 4.0 ; 4.0 ; 4.0 ; 4.0 ; 4.0 ; 4.0 ; 4.0 ; 4.0 ; 4.0 ; 4.0 ; 4.0 ; 4.0 ; 4.0 ; 4.0 ; 4.0 ; 4.0 ; 4.0 ; 4.0 ; 4.0 ; 4.0 ; 4.0 ; 4.0 ; 4.0 ; 4.0 ; 4.0 ; 4.0 ; 4.0 ; 4.0 ; 4.0 ; 4.0 ; 4.0 ; 4.0 ; 4.0 ; 4.0 ; 4.0 ; 4.0 ; 4.0 ; 4.0
org::eclipse::jdt::internal::core::CompilationUnitVisitor ; 107.0 ; 107.0 ; 107.0 ; 107.0 ; 107.0 ; 107.0 ; 107.0 ; 107.0 ; 107.0 ; 107.0 ; 107.0 ; 107.0 ; 107.0 ; 107.0 ; 107.0 ; 107.0 ; 107.0 ; 107.0 ; 107.0 ; 107.0 ; 107.0 ; 107.0 ; 107.0 ; 107.0 ; 107.0 ; 107.0 ; 107.0 ; 107.0 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1
org::eclipse::jdt::internal::compiler::ast::ASTNode ; 251.0 ; 252.0 ; 252.0 ; 276.0 ; 278.0 ; 278.0 ; 278.0 ; 283.0 ; 284.0 ; 284.0 ; 284.0 ; 284.0 ; 284.0 ; 284.0 ; 284.0 ; 284.0 ; 284.0 ; 284.0 ; 284.0 ; 285.0 ; 285.0 ; 285.0 ; 285.0 ; 285.0 ; 285.0 ; 285.0 ; 343.0 ; 407.0 ; 407.0 ; 407.0 ; 414.0 ; 419.0 ; 419.0 ; 419.0 ; 419.0 ; 419.0 ; 419.0 ; 419.0 ; 421.0 ; 421.0 ; 421.0 ; 421.0 ; 421.0 ; 421.0 ; 421.0 ; 423.0 ; 423.0 ; 450.0 ; 450.0 ; 450.0 ; 450.0 ; 450.0 ; 450.0 ; 450.0 ; 450.0 ; 450.0 ; 450.0 ; 450.0 ; 450.0 ; 450.0 ; 450.0 ; 450.0 ; 450.0 ; 450.0 ; 474.0 ; 474.0 ; 474.0 ; 474.0 ; 474.0 ; 474.0 ; 474.0 ; 480.0 ; 475.0 ; 481.0 ; 483.0 ; 483.0 ; 483.0 ; 483.0 ; 483.0 ; 492.0 ; 483.0 ; 484.0 ; 484.0 ; 484.0 ; 484.0 ; 484.0 ; 484.0 ; 484.0 ; 484.0 ; 484.0
org::eclipse::jdt::internal::compiler::lookup::MemberTypeBinding ; 18.0 ; 18.0 ; 18.0 ; 18.0 ; 18.0 ; 18.0 ; 18.0 ; 18.0 ; 18.0 ; 18.0 ; 18.0 ; 18.0 ; 18.0 ; 18.0 ; 18.0 ; 18.0 ; 18.0 ; 18.0 ; 18.0 ; 18.0 ; 18.0 ; 18.0 ; 18.0 ; 18.0 ; 18.0 ; 18.0 ; 18.0 ; 18.0 ; 18.0 ; 18.0 ; 18.0 ; 18.0 ; 18.0 ; 18.0 ; 18.0 ; 18.0 ; 18.0 ; 18.0 ; 18.0 ; 18.0 ; 18.0 ; 18.0 ; 18.0 ; 18.0 ; 18.0 ; 18.0 ; 38.0 ; 33.0 ; 33.0 ; 33.0 ; 33.0 ; 33.0 ; 33.0 ; 33.0 ; 33.0 ; 33.0 ; 33.0 ; 33.0 ; 33.0 ; 33.0 ; 33.0 ; 33.0 ; 33.0 ; 33.0 ; 33.0 ; 33.0 ; 33.0 ; 33.0 ; 33.0 ; 33.0 ; 33.0 ; 33.0 ; 33.0 ; 33.0 ; 33.0 ; 33.0 ; 33.0 ; 33.0 ; 33.0 ; 33.0 ; 33.0 ; 33.0 ; 33.0 ; 33.0 ; 33.0 ; 33.0 ; 33.0 ; 33.0 ; 33.0 ; 33.0
org::eclipse::jdt::internal::eval::CodeSnippetParser ; 653.0 ; 653.0 ; 653.0 ; 653.0 ; 671.0 ; 671.0 ; 671.0 ; 671.0 ; 671.0 ; 671.0 ; 671.0 ; 671.0 ; 671.0 ; 676.0 ; 676.0 ; 676.0 ; 676.0 ; 676.0 ; 676.0 ; 676.0 ; 676.0 ; 676.0 ; 676.0 ; 676.0 ; 676.0 ; 676.0 ; 676.0 ; 676.0 ; 676.0 ; 676.0 ; 676.0 ; 676.0 ; 676.0 ; 676.0 ; 676.0 ; 676.0 ; 676.0 ; 676.0 ; 676.0 ; 676.0 ; 676.0 ; 676.0 ; 676.0 ; 676.0 ; 676.0 ; 676.0 ; 676.0 ; 676.0 ; 676.0 ; 676.0 ; 676.0 ; 676.0 ; 676.0 ; 676.0 ; 676.0 ; 676.0 ; 676.0 ; 676.0 ; 676.0 ; 676.0 ; 676.0 ; 676.0 ; 676.0 ; 676.0 ; 676.0 ; 676.0 ; 673.0 ; 673.0 ; 673.0 ; 673.0 ; 673.0 ; 673.0 ; 673.0 ; 673.0 ; 673.0 ; 673.0 ; 673.0 ; 673.0 ; 673.0 ; 673.0 ; 673.0 ; 673.0 ; 673.0 ; 673.0 ; 673.0 ; 673.0 ; 673.0 ; 673.0 ; 673.0 ; 673.0
org::eclipse::jdt::internal::formatter::Location ; 15.0 ; 15.0 ; 15.0 ; 15.0 ; 15.0 ; 15.0 ; 16.0 ; 16.0 ; 16.0 ; 16.0 ; 16.0 ; 16.0 ; 16.0 ; 16.0 ; 16.0 ; 16.0 ; 16.0 ; 16.0 ; 16.0 ; 16.0 ; 16.0 ; 16.0 ; 16.0 ; 16.0 ; 16.0 ; 16.0 ; 16.0 ; 16.0 ; 16.0 ; 16.0 ; 16.0 ; 16.0 ; 16.0 ; 16.0 ; 16.0 ; 16.0 ; 16.0 ; 16.0 ; 16.0 ; 16.0 ; 16.0 ; 16.0 ; 16.0 ; 16.0 ; 16.0 ; 16.0 ; 16.0 ; 16.0 ; 16.0 ; 16.0 ; 16.0 ; 16.0 ; 16.0 ; 16.0 ; 16.0 ; 16.0 ; 16.0 ; 16.0 ; 16.0 ; 16.0 ; 16.0 ; 16.0 ; 16.0 ; 16.0 ; 16.0 ; 16.0 ; 16.0 ; 16.0 ; 16.0 ; 16.0 ; 16.0 ; 16.0 ; 16.0 ; 16.0 ; 16.0 ; 16.0 ; 16.0 ; 16.0 ; 16.0 ; 16.0 ; 16.0 ; 16.0 ; 16.0 ; 16.0 ; 16.0 ; 16.0 ; 16.0 ; 16.0 ; 16.0 ; 16.0
org::eclipse::jdt::core::dom::SingleMemberAnnotation ; 87.0 ; 87.0 ; 87.0 ; 87.0 ; 87.0 ; 87.0 ; 87.0 ; 87.0 ; 87.0 ; 87.0 ; 87.0 ; 87.0 ; 87.0 ; 87.0 ; 87.0 ; 87.0 ; 87.0 ; 87.0 ; 87.0 ; 87.0 ; 87.0 ; 87.0 ; 87.0 ; 87.0 ; 87.0 ; 87.0 ; 87.0 ; 87.0 ; 87.0 ; 87.0 ; 87.0 ; 87.0 ; 87.0 ; 87.0 ; 87.0 ; 87.0 ; 87.0 ; 87.0 ; 87.0 ; 87.0 ; 87.0 ; 87.0 ; 87.0 ; 87.0 ; 87.0 ; 87.0 ; 87.0 ; 87.0 ; 87.0 ; 87.0 ; 87.0 ; 87.0 ; 87.0 ; 87.0 ; 87.0 ; 87.0 ; 87.0 ; 87.0 ; 87.0 ; 87.0 ; 87.0 ; 87.0 ; 87.0 ; 87.0 ; 87.0 ; 87.0 ; 87.0 ; 87.0 ; 87.0 ; 87.0 ; 87.0 ; 87.0 ; 87.0 ; 87.0 ; 87.0 ; 87.0 ; 87.0 ; 87.0 ; 87.0 ; 87.0 ; 87.0 ; 87.0 ; 87.0 ; 87.0 ; 87.0 ; 87.0 ; 87.0 ; 87.0 ; 87.0 ; 87.0
org::eclipse::jdt::internal::compiler::parser::NLSTag ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; 18.0 ; 21.0 ; 21.0 ; 21.0 ; 21.0 ; 21.0 ; 9.0 ; 9.0 ; 9.0 ; 9.0 ; 9.0 ; 9.0 ; 9.0 ; 9.0 ; 9.0 ; 9.0 ; 9.0 ; 9.0 ; 9.0 ; 9.0 ; 9.0 ; 9.0 ; 9.0 ; 9.0 ; 9.0 ; 9.0 ; 9.0 ; 9.0 ; 9.0 ; 9.0 ; 9.0 ; 9.0 ; 9.0 ; 9.0 ; 9.0 ; 9.0 ; 9.0 ; 9.0 ; 9.0 ; 9.0 ; 9.0 ; 9.0 ; 9.0 ; 9.0 ; 9.0 ; 9.0 ; 9.0 ; 9.0 ; 9.0 ; 9.0 ; 9.0 ; 9.0 ; 9.0 ; 9.0 ; 9.0 ; 9.0 ; 9.0 ; 9.0 ; 9.0 ; 9.0 ; 9.0 ; 9.0 ; 9.0 ; 9.0 ; 9.0 ; 9.0 ; 9.0 ; 9.0 ; 9.0 ; 9.0 ; 9.0 ; 9.0 ; 9.0 ; 9.0 ; 9.0 ; 9.0
org::eclipse::jdt::internal::compiler::parser::RecoveredBlock ; 147.0 ; 147.0 ; 147.0 ; 147.0 ; 147.0 ; 147.0 ; 147.0 ; 147.0 ; 147.0 ; 147.0 ; 147.0 ; 147.0 ; 147.0 ; 147.0 ; 147.0 ; 147.0 ; 147.0 ; 147.0 ; 147.0 ; 147.0 ; 147.0 ; 147.0 ; 147.0 ; 147.0 ; 147.0 ; 147.0 ; 147.0 ; 149.0 ; 205.0 ; 205.0 ; 205.0 ; 205.0 ; 205.0 ; 209.0 ; 209.0 ; 209.0 ; 209.0 ; 209.0 ; 209.0 ; 209.0 ; 209.0 ; 209.0 ; 209.0 ; 209.0 ; 209.0 ; 209.0 ; 209.0 ; 209.0 ; 209.0 ; 209.0 ; 209.0 ; 209.0 ; 209.0 ; 209.0 ; 209.0 ; 209.0 ; 209.0 ; 209.0 ; 209.0 ; 209.0 ; 209.0 ; 209.0 ; 209.0 ; 209.0 ; 209.0 ; 209.0 ; 209.0 ; 209.0 ; 209.0 ; 209.0 ; 209.0 ; 209.0 ; 209.0 ; 209.0 ; 209.0 ; 209.0 ; 209.0 ; 209.0 ; 209.0 ; 250.0 ; 250.0 ; 250.0 ; 250.0 ; 250.0 ; 250.0 ; 250.0 ; 250.0 ; 250.0 ; 250.0 ; 250.0
org::eclipse::jdt::internal::core::ParameterizedSourceType ; 12.0 ; 12.0 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1 ; -1
org::eclipse::jdt::internal::core::CompilationUnitElementInfo ; 18.0 ; 18.0 ; 18.0 ; 18.0 ; 18.0 ; 18.0 ; 18.0 ; 15.0 ; 15.0 ; 15.0 ; 15.0 ; 15.0 ; 15.0 ; 15.0 ; 15.0 ; 15.0 ; 15.0 ; 15.0 ; 15.0 ; 15.0 ; 15.0 ; 15.0 ; 15.0 ; 15.0 ; 15.0 ; 15.0 ; 15.0 ; 15.0 ; 15.0 ; 15.0 ; 15.0 ; 15.0 ; 15.0 ; 15.0 ; 15.0 ; 15.0 ; 15.0 ; 15.0 ; 15.0 ; 15.0 ; 15.0 ; 15.0 ; 15.0 ; 15.0 ; 15.0 ; 15.0 ; 15.0 ; 15.0 ; 15.0 ; 15.0 ; 15.0 ; 15.0 ; 15.0 ; 15.0 ; 15.0 ; 15.0 ; 15.0 ; 15.0 ; 15.0 ; 15.0 ; 15.0 ; 15.0 ; 15.0 ; 15.0 ; 15.0 ; 15.0 ; 15.0 ; 15.0 ; 15.0 ; 15.0 ; 15.0 ; 15.0 ; 15.0 ; 9.0 ; 9.0 ; 9.0 ; 9.0 ; 9.0 ; 9.0 ; 9.0 ; 9.0 ; 9.0 ; 9.0 ; 9.0 ; 9.0 ; 9.0 ; 9.0 ; 9.0 ; 9.0 ; 9.0
org::eclipse::jdt::core::dom::MemberRef ; 95.0 ; 95.0 ; 95.0 ; 95.0 ; 95.0 ; 95.0 ; 95.0 ; 95.0 ; 95.0 ; 95.0 ; 95.0 ; 95.0 ; 95.0 ; 95.0 ; 95.0 ; 95.0 ; 95.0 ; 95.0 ; 95.0 ; 95.0 ; 95.0 ; 95.0 ; 95.0 ; 95.0 ; 95.0 ; 95.0 ; 95.0 ; 95.0 ; 95.0 ; 95.0 ; 95.0 ; 95.0 ; 95.0 ; 95.0 ; 95.0 ; 95.0 ; 95.0 ; 95.0 ; 95.0 ; 95.0 ; 95.0 ; 95.0 ; 95.0 ; 95.0 ; 95.0 ; 95.0 ; 95.0 ; 95.0 ; 95.0 ; 95.0 ; 95.0 ; 95.0 ; 95.0 ; 95.0 ; 95.0 ; 95.0 ; 95.0 ; 95.0 ; 95.0 ; 95.0 ; 95.0 ; 95.0 ; 95.0 ; 95.0 ; 95.0 ; 95.0 ; 95.0 ; 95.0 ; 95.0 ; 95.0 ; 95.0 ; 95.0 ; 95.0 ; 95.0 ; 95.0 ; 95.0 ; 95.0 ; 95.0 ; 95.0 ; 95.0 ; 95.0 ; 95.0 ; 95.0 ; 95.0 ; 95.0 ; 95.0 ; 95.0 ; 95.0 ; 95.0 ; 95.0
